SaleID, CustomerID, ProductID, SaleDate, Quantity, SaleAmount
81, 110, 1005, 2024-03-21, 5, 1500.00
82, 101, 1001, 2024-03-22, 2, 500.00
83, 102, 1002, 2024-03-23, 1, 300.00
84, 103, 1003, 2024-03-24, 4, 1200.00
85, 104, 1004, 2024-03-25, 3, 600.00
86, 105, 1005, 2024-03-26, 2, 600.00
87, 106, 1001, 2024-03-27, 1, 250.00
88, 107, 1002, 2024-03-28, 2, 600.00
89, 108, 1003, 2024-03-29, 3, 900.00
90, 109, 1004, 2024-03-30, 4, 800.00
91, 110, 1005, 2024-03-31, 1, 300.00
92, 101, 1001, 2024-04-01, 5, 1250.00
93, 102, 1002, 2024-04-02, 2, 600.00
94, 103, 1003, 2024-04-03, 3, 900.00
95, 104, 1004, 2024-04-04, 4, 800.00
96, 105, 1005, 2024-04-05, 5, 1500.00
97, 106, 1001, 2024-04-06, 2, 500.00
98, 107, 1002, 2024-04-07, 1, 300.00
99, 108, 1003, 2024-04-08, 4, 1200.00
100, 109, 1004, 2024-04-09, 3, 600.00
101, 110, 1005, 2024-04-10, 2, 600.00
102, 101, 1001, 2024-04-11, 1, 250.00
103, 102, 1002, 2024-04-12, 2, 600.00
104, 103, 1003, 2024-04-13, 3, 900.00
105, 104, 1004, 2024-04-14, 4, 800.00
106, 105, 1005, 2024-04-15, 1, 300.00
107, 106, 1001, 2024-04-16, 5, 1250.00
108, 107, 1002, 2024-04-17, 2, 600.00
109, 108, 1003, 2024-04-18, 3, 900.00
110, 109, 1004, 2024-04-19, 4, 800.00
111, 110, 1005, 2024-04-20, 5, 1500.00
112, 101, 1001, 2024-04-21, 2, 500.00
113, 102, 1002, 2024-04-22, 1, 300.00
114, 103, 1003, 2024-04-23, 4, 1200.00
115, 104, 1004, 2024-04-24, 3, 600.00
116, 105, 1005, 2024-04-25, 2, 600.00
117, 106, 1001, 2024-04-26, 1, 250.00
118, 107, 1002, 2024-04-27, 2, 600.00
119, 108, 1003, 2024-04-28, 3, 900.00
120, 109, 1004, 2024-04-29, 4, 800.00
121, 110, 1005, 2024-04-30, 1, 300.00
122, 101, 1001, 2024-05-01, 5, 1250.00
123, 102, 1002, 2024-05-02, 2, 600.00
124, 103, 1003, 2024-05-03, 3, 900.00
125, 104, 1004, 2024-05-04, 4, 800.00
126, 105, 1005, 2024-05-05, 5, 1500.00
127, 106, 1001, 2024-05-06, 2, 500.00
128, 107, 1002, 2024-05-07, 1, 300.00
129, 108, 1003, 2024-05-08, 4, 1200.00
130, 109, 1004, 2024-05-09, 3, 600.00
131, 110, 1005, 2024-05-10, 2, 600.00
132, 101, 1001, 2024-05-11, 1, 250.00
133, 102, 1002, 2024-05-12, 2, 600.00
134, 103, 1003, 2024-05-13, 3, 900.00
135, 104, 1004, 2024-05-14, 4, 800.00
136, 105, 1005, 2024-05-15, 1, 300.00
137, 106, 1001, 2024-05-16, 5, 1250.00
138, 107, 1002, 2024-05-17, 2, 600.00
139, 108, 1003, 2024-05-18, 3, 900.00
140, 109, 1004, 2024-05-19, 4, 800.00
141, 110, 1005, 2024-05-20, 5, 1500.00
142, 101, 1001, 2024-05-21, 2, 500.00
143, 102, 1002, 2024-05-22, 1, 300.00
144, 103, 1003, 2024-05-23, 4, 1200.00
145, 104, 1004, 2024-05-24, 3, 600.00
146, 105, 1005, 2024-05-25, 2, 600.00
147, 106, 1001, 2024-05-26, 1, 250.00
148, 107, 1002, 2024-05-27, 2, 600.00
149, 108, 1003, 2024-05-28, 3, 900.00
150, 109, 1004, 2024-05-29, 4, 800.00
151, 110, 1005, 2024-05-30, 1, 300.00
152, 101, 1001, 2024-05-31, 5, 1250.00
153, 102, 1002, 2024-06-01, 2, 600.00
154, 103, 1003, 2024-06-02, 3, 900.00
155, 104, 1004, 2024-06-03, 4, 800.00
156, 105, 1005, 2024-06-04, 5, 1500.00
157, 106, 1001, 2024-06-05, 2, 500.00
158, 107, 1002, 2024-06-06, 1, 300.00
159, 108, 1003, 2024-06-07, 4, 1200.00
160, 109, 1004, 2024-06-08, 3, 600.00
161, 110, 1005, 2024-06-09, 2, 600.00
162, 101, 1001, 2024-06-10, 1, 250.00
163, 102, 1002, 2024-06-11, 2, 600.00
164, 103, 1003, 2024-06-12, 3, 900.00
165, 104, 1004, 2024-06-13, 4, 800.00
166, 105, 1005, 2024-06-14, 1, 300.00
167, 106, 1001, 2024-06-15, 5, 1250.00
168, 107, 1002, 2024-06-16, 2, 600.00
169, 108, 1003, 2024-06-17, 3, 900.00
170, 109, 1004, 2024-06-18, 4, 800.00
171, 110, 1005, 2024-06-19, 5, 1500.00
172, 101, 1001, 2024-06-20, 2, 500.00
173, 102, 1002, 2024-06-21, 1, 300.00
174, 103, 1003, 2024-06-22, 4, 1200.00
175, 104, 1004, 2024-06-23, 3, 600.00
176, 105, 1005, 2024-06-24, 2, 600.00
177, 106, 1001, 2024-06-25, 1, 250.00
178, 107, 1002, 2024-06-26, 2, 600.00
179, 108, 1003, 2024-06-27, 3, 900.00
180, 109, 1004, 2024-06-28, 4, 800.00
181, 110, 1005, 2024-06-29, 1, 300.00
182, 101, 1001, 2024-06-30, 5, 1250.00
183, 102, 1002, 2024-07-01, 2, 600.00
184, 103, 1003, 2024-07-02, 3, 900.00
185, 104, 1004, 2024-07-03, 4, 800.00
186, 105, 1005, 2024-07-04, 5, 1500.00
187, 106, 1001, 2024-07-05, 2, 500.00
188, 107, 1002, 2024-07-06, 1, 300.00
189, 108, 1003, 2024-07-07, 4, 1200.00
190, 109, 1004, 2024-07-08, 3, 600.00
191, 110, 1005, 2024-07-09, 2, 600.00
192, 101, 1001, 2024-07-10, 1, 250.00
193, 102, 1002, 2024-07-11, 2, 600.00
194, 103, 1003, 2024-07-12, 3, 900.00
195, 104, 1004, 2024-07-13, 4, 800.00
196, 105, 1005, 2024-07-14, 1, 300.00
197, 106, 1001, 2024-07-15, 5, 1250.00
198, 107, 1002, 2024-07-16, 2, 600.00
199, 108, 1003, 2024-07-17, 3, 900.00
200, 109, 1004, 2024-07-18, 4, 800.00
