Date,ProductID,TrendType,Value
2024-03-05,1006,Sales,950
2024-03-06,1001,Sales,2350
2024-03-06,1002,Sales,2850
2024-03-06,1003,Sales,1200
2024-03-06,1004,Sales,840
2024-03-06,1005,Sales,560
2024-03-06,1006,Sales,960
2024-03-07,1001,Sales,2400
2024-03-07,1002,Sales,2900
2024-03-07,1003,Sales,1210
2024-03-07,1004,Sales,850
2024-03-07,1005,Sales,570
2024-03-07,1006,Sales,970
2024-03-08,1001,Sales,2450
2024-03-08,1002,Sales,2950
2024-03-08,1003,Sales,1220
2024-03-08,1004,Sales,860
2024-03-08,1005,Sales,580
2024-03-08,1006,Sales,980
2024-03-09,1001,Sales,2500
2024-03-09,1002,Sales,3000
2024-03-09,1003,Sales,1230
2024-03-09,1004,Sales,870
2024-03-09,1005,Sales,590
2024-03-09,1006,Sales,990
